title,release_date,rating_count,rating_avg,movieId,movieIdx
b'Mike and Dave Need Wedding Dates',2016-07-07,1,4.00,160567,6605
b'delete me movies',2024-02-07,53,3.34,7,5
"b'One, Two, Three'",1961-12-15,1,3.00,6579,2258
b'The Sure Thing',1985-03-01,2,4.00,6636,2270
b'Tokyo Story',1953-11-03,6,4.50,6643,2273
b'The Medallion',2003-08-15,3,2.33,6686,2283
b'TransSiberian',2008-01-18,3,3.67,6687,2284
b'Outland',1981-05-22,5,3.60,4443,1713
b'The Matrix Reloaded',2003-05-15,82,3.52,6365,2221
b'The Order',2003-09-05,1,4.00,6703,2286
b'The Score',2001-07-13,18,3.39,4448,1717
b'Midnight in the Garden of Good and Evil',1997-11-21,20,3.40,1711,618
b'Agent Cody Banks',2003-03-14,3,2.00,6624,2268
b'Afterlife of the Party',2021-09-02,1,3.00,785457,9541
b'THX 1138',1971-03-11,4,3.25,6645,2274
b'The Discreet Charm of the Bourgeoisie',1972-09-15,9,4.33,6666,2280
b'Once Upon a Time in Mexico',2003-09-11,10,3.30,6709,2289
b'GoodFellas',1990-09-12,2,3.00,769,267
b'Old Henry',2021-10-01,1,3.00,785663,9547
"b""On Her Majesty's Secret Service""",1969-12-12,13,3.77,3633,1407
b'The Cure',1995-04-21,18,2.56,6715,2292
"b'Hello, Dolly!'",1969-12-12,4,4.25,6732,2297
b'Millennium Actress',2001-09-14,3,4.00,6713,2291
b'Paper Moon',1973-05-09,6,4.17,6724,2294
b'Lost in Translation',2003-09-18,85,4.05,6711,2290
b'Duplex',2003-09-26,6,2.50,6763,2304
b'Once Bitten',1985-11-15,4,3.50,6744,2298
b'The Brood',1979-05-25,1,3.00,6748,2299
b'The Accused',1988-10-14,8,3.63,4465,1719
b'Pulp Fiction',1994-09-10,8,3.63,680,239
b'Cold Creek Manor',2003-09-19,1,1.00,6751,2300
b'Convoy',1978-06-27,1,4.00,6730,2295
b'Once Upon a Time in China',1991-08-15,4,3.75,6721,2293
b'Matchstick Men',2003-09-12,24,3.96,6708,2288
b'Boyz n the Hood',1991-07-12,28,4.25,6796,2320
b'Black Knight',2001-11-21,2,3.50,4899,1854
b'Where Eagles Dare',1968-12-04,5,2.80,6808,2325
b'The Triplets of Belleville',2003-06-11,13,4.15,6773,2309
b'My Life Without Me',2003-03-07,2,4.50,6770,2308
b'Bugsy Malone',1976-07-22,1,3.00,6798,2322
"b""Babette's Feast""",1987-08-11,5,4.00,6791,2317
b'The Rules of the Game',1939-07-09,5,4.20,6783,2312
b'Under the Tuscan Sun',2003-09-20,4,3.00,6765,2306
b'Phenomena',1985-01-25,2,4.00,6803,2324
b'Videodrome',1983-02-04,7,3.86,6774,2310
"b""All the President's Men""",1976-01-18,22,4.41,6787,2315
b'Fargo',1996-03-08,5,2.80,275,100
b'Judgment at Nuremberg',1961-12-18,9,4.11,6777,2311
b'Kiss of the Spider Woman',1985-07-26,6,3.17,6786,2314
b'The Rundown',2003-09-26,4,3.75,6764,2305
b'AVP: Alien vs. Predator',2004-08-12,18,3.00,395,148
b'Knife in the Water',1962-03-09,5,3.60,6858,2333
b'Ninja Scroll',1993-06-05,11,3.73,6857,2332
b'The Man Without a Face',1993-08-25,21,3.33,491,191
b'Veronica Guerin',2003-07-11,1,4.00,6884,2343
b'The Station Agent',2003-01-26,13,3.77,6867,2336
b'Radio',2003-10-24,3,3.33,6887,2344
b'In Cold Blood',1967-12-15,4,4.25,6852,2331
b'King of New York',1990-07-18,6,3.50,1785,640
b'Out of Time',2003-10-03,3,3.67,6862,2334
b'School of Rock',2003-10-03,51,3.71,6863,2335
b'Sleeping with the Enemy',1991-01-13,5,3.00,6810,2326
b'Come and See',1985-07-09,2,4.50,6818,2328
b'Final Destination',2000-03-17,28,3.18,3409,1310
b'Regarding Henry',1991-07-10,6,2.50,6832,2330
b'The Rookie',2002-03-25,4,3.50,5267,1958
b'The Eye',2002-05-09,4,3.75,6909,2350
b'Commando',1985-10-03,5,3.60,6664,2279
b'The Italian Job',1969-06-02,9,3.56,6893,2348
"b""Watch Out, We're Mad""",1974-03-29,26,2.96,6916,2351
b'The Woods',2006-09-25,158,3.51,6948,2359
b'Father of the Bride',1991-12-20,11,3.36,6944,2358
b'Scary Movie 3',2003-10-24,12,2.67,6888,2345
b'Le Cercle Rouge',1970-10-19,1,5.00,6920,2352
b'Love Actually',2003-09-07,55,3.78,6942,2357
"b""The Devil's Backbone""",2001-04-20,4,3.25,4902,1856
b'Confessions of a Dangerous Mind',2002-12-31,5,3.80,4912,1858
b'In the Bedroom',2001-11-23,11,4.00,4903,1857
b'Brother Bear',2003-10-23,5,2.80,6889,2346
b'Aladdin',1992-11-25,39,2.59,812,282
b'Ordet',1955-01-09,2,2.00,6981,2370
b'South Park: Post COVID: The Return of COVID',2021-12-16,0,,874300,9626
b'Timeline',2003-11-26,2,4.50,6959,2364
"b""Ocean's Eleven""",2001-12-07,131,4.08,4963,1871
b'Europa',1991-06-27,3,4.33,6971,2366
b'The Haunted Mansion',2003-11-25,1,3.00,6958,2363
b'Gothika',2003-11-21,4,3.50,6952,2360
b'WarGames',1983-06-03,33,3.82,6979,2369
b'The Barbarian Invasions',2003-09-24,6,4.50,6954,2362
b'Darkman',1990-08-24,3,4.33,6966,2365
b'Forbidden Games',1952-05-09,3,3.33,6982,2371
b'Funny Games',1997-09-11,11,4.09,6975,2368
b'21 Grams',2003-09-06,30,3.53,6953,2361
b'Blood Diamond',2006-12-07,47,3.34,1372,518
b'Guarding Tess',1994-03-11,1,3.00,6992,2377
b'White Noise 2: The Light',2007-01-05,1,5.00,7006,2384
b'Housesitter',1992-06-12,1,4.00,6999,2380
b'The Passion of Joan of Arc',1928-04-21,5,4.40,6985,2372
b'The Great Dictator',1940-10-15,51,3.76,914,310
b'Last Tango in Paris',1972-10-14,5,3.20,7008,2385
b'Over the Top',1987-02-13,2,1.00,7016,2389
b'The First Great Train Robbery',1978-12-14,4,4.25,6990,2375
b'Gorky Park',1983-12-15,3,3.33,6989,2374
b'Hudson Hawk',1991-05-23,5,3.20,7000,2381
b'Kindergarten Cop',1990-12-21,14,3.07,7004,2382
b'The Hound of the Baskervilles',1959-05-04,1,4.00,5383,1994
b'The Cabinet of Dr. Caligari',1920-02-27,13,4.15,6987,2373
"b'Greystoke: The Legend of Tarzan, Lord of the Apes'",1984-03-30,1,4.00,6991,2376
"b'Sal\xc3\xb2, or the 120 Days of Sodom'",1976-01-10,2,4.00,7024,2393
b'Teen Wolf',1985-08-23,8,3.13,7036,2399
b'Quick Change',1990-07-13,3,4.33,7028,2396
b'Nothing to Lose',1997-07-18,2,4.00,7048,2406
b'Rabid',1977-04-08,1,3.00,7029,2397
b'Silverado',1985-07-10,6,4.00,7027,2395
b'The Public Enemy',1931-04-23,4,4.00,7056,2407
b'K-19: The Widowmaker',2002-07-19,7,3.14,5479,2022
b'Passenger 57',1992-11-06,2,3.50,7017,2390
b'Show Me Love',1998-10-23,5,4.00,7034,2398
b'Three Colors: Red',1994-05-12,228,4.04,110,43
b'Battle Royale',2000-12-16,26,3.96,7022,2392
b'Vivre Sa Vie',1962-08-28,3,4.00,7043,2402
b'Summer School',1987-07-22,2,1.50,7026,2394
b'Betty Blue',1986-04-09,5,3.00,7042,2401
b'Presumed Innocent',1990-07-26,4,3.25,7018,2391
b'Jack',1996-08-09,2,3.00,7095,2423
b'Red River',1948-08-26,2,4.00,7070,2414
"b'Aguirre, the Wrath of God'",1972-12-29,9,4.56,7063,2410
"b'Play It Again, Sam'",1972-05-04,8,3.88,7084,2419
b'Birdman of Alcatraz',1962-07-04,4,3.50,7062,2409
b'Juliet of the Spirits',1965-10-22,1,3.00,7067,2411
b'Bullitt',1968-10-17,3,3.00,7076,2418
b'Toy Story 2',1999-10-30,1,5.00,863,292
b'Stakeout',1987-08-05,2,2.50,5553,2048
b'Macbeth',1971-12-20,3,3.33,7069,2413
b'A Woman Under the Influence',1974-09-19,2,3.50,7071,2415
b'Last Action Hero',1993-06-18,53,2.98,485,190
b'Jesus Christ Superstar',1973-08-15,9,3.44,7060,2408
b'The Cooler',2003-11-26,7,4.14,7137,2436
b'Nausica\xc3\xa4 of the Valley of the Wind',1984-03-11,21,4.29,7099,2424
b'Stuck on You',2003-12-10,5,2.40,7150,2442
"b""Something's Gotta Give""",2003-12-12,13,3.31,7149,2441
b'Honey',2003-11-24,3,3.00,7142,2438
b'Doc Hollywood',1991-08-02,3,3.33,7101,2425
b'Stolen Kisses',1968-09-04,4,4.25,7136,2435
b'Deep Red',1975-03-07,2,4.00,7115,2428
b'Shoot the Piano Player',1960-11-25,4,3.75,7135,2434
b'A Night at the Opera',1935-11-15,11,4.09,7132,2433
b'Naked Lunch',1991-12-27,6,3.83,7123,2432
b'Married to the Mob',1988-08-19,16,3.44,2247,798
b'Leprechaun',1993-01-08,3,2.67,7117,2430
b'Dragnet',1987-06-23,4,2.75,7102,2426
b'Paycheck',2003-12-25,10,3.10,7163,2451
b'Ninotchka',1939-11-23,2,5.00,1859,656
b'Girl with a Pearl Earring',2003-12-12,4,3.75,7151,2443
b'Mona Lisa Smile',2003-12-19,10,3.30,7154,2445
b'House of Sand and Fog',2003-12-19,10,3.60,7158,2447
